Barcode Index	T=0 cycle	T=2.0 cycle	T=4.0 cycle	T=6.0 cycle	T=8.0 cycle	T=10.0 cycle	T=12.0 cycle	T=14.0 cycle	T=16.0 cycle	T=18.0 cycle
0	328	496	1148	1893	1914	897	558	285	80	54
1	278	659	2370	4395	8565	9500	6703	5924	4605	3054
2	25	122	515	1337	2360	3841	3378	3154	2895	1801
3	74	159	513	869	1958	1680	1704	1089	744	531
4	121	557	2002	5279	11312	19731	20682	21273	19208	16403
5	35	50	223	545	597	408	205	122	65	60
6	257	361	488	545	594	414	145	16	10	1
7	49	25	2	13	23	2	0	0	0	0
8	149	261	591	1403	1647	1787	1359	817	486	273
9	568	911	1532	1695	1818	1133	565	170	99	59
10	0	0	0	0	0	0	0	0	0	0
11	12	8	14	12	0	0	0	0	0	0
12	11	10	0	0	0	0	0	0	0	0
13	45	87	113	410	503	396	206	108	72	27
14	206	607	1838	3619	5705	6641	4170	2986	1938	1021
15	56	106	203	209	188	179	85	21	0	13
16	99	273	624	734	980	752	572	295	110	88
17	464	1310	3292	5486	9015	10564	6748	3992	2748	1422
18	78	241	398	849	1018	859	662	385	169	172
19	159	647	1123	2589	2425	2960	2010	1435	957	498
20	60	111	333	759	890	616	400	189	94	21
21	48	72	162	171	177	108	84	35	18	4
22	62	491	1837	6251	10444	16254	14759	12874	9598	7661
23	130	357	1228	3328	6280	6128	8257	5387	4998	3347
24	39	110	361	744	964	756	569	416	147	93
25	21	19	61	251	597	1147	1215	739	861	664
26	134	180	395	515	588	435	164	94	25	10
27	90	198	380	695	852	977	625	459	318	143
28	131	262	694	1091	851	666	363	157	132	81
29	198	443	1169	1886	2041	1775	873	460	250	64
30	155	250	311	568	420	367	162	36	27	13
31	152	104	308	460	307	150	46	29	16	7
32	25	18	16	22	10	0	0	0	0	0
33	25	58	240	490	747	1231	1105	840	666	412
34	58	56	24	58	48	30	18	3	0	0
35	59	162	246	255	331	166	63	31	0	0
36	47	79	114	105	93	17	2	0	0	0
37	711	758	878	812	489	307	116	60	12	3
38	15	21	41	65	78	112	52	18	44	13
39	131	129	137	161	115	63	35	12	2	0
40	92	130	113	87	48	10	1	0	0	0
41	33	44	68	60	42	14	3	2	0	0
42	14	31	46	108	136	140	72	61	6	2
43	26	89	196	453	885	727	738	453	297	202
44	61	153	221	354	288	197	120	33	19	4
45	235	220	214	203	81	15	17	0	0	0
46	43	132	287	634	498	334	196	94	43	12
47	22	43	74	148	180	130	61	41	42	12
48	343	1380	4951	8885	13834	14473	12925	9659	5341	4197
49	36	31	31	70	85	36	42	10	3	3
50	96	86	41	70	76	36	5	17	0	0
51	50	153	198	388	438	356	175	82	42	51
52	67	94	114	328	310	222	132	57	26	9
53	569	1151	1559	2271	2293	1243	624	226	73	30
54	108	367	672	1061	918	776	502	202	104	19
55	133	202	164	211	166	62	18	7	0	0
56	7	11	58	145	216	206	99	129	44	24
57	183	308	396	885	900	598	435	142	52	17
58	21	107	449	1062	2398	3474	3004	3208	2579	2735
59	5	0	0	0	0	0	0	0	0	0
60	126	581	1999	6403	10305	13676	11952	10765	7844	5248
61	151	366	418	754	967	449	254	103	25	0
62	23	87	84	44	18	10	10	4	0	0
63	162	537	1014	1757	1513	1360	1100	441	208	150
64	15	71	103	140	107	116	35	13	8	0
65	60	165	314	638	618	541	260	125	66	19
66	93	354	1108	2205	3260	3526	2415	1968	1362	768
67	46	125	151	204	285	201	57	52	10	4
68	77	39	110	241	321	223	210	98	49	16
69	135	457	1003	2330	3314	3427	2755	1836	1313	631
70	32	101	174	676	1123	1948	2092	2064	1956	1855
71	152	645	3614	11464	52345	96130	124435	182109	217783	262587
72	44	110	327	1081	1572	2061	1535	1430	1304	629
73	23	16	8	15	44	41	19	24	16	16
74	183	193	274	798	839	1127	696	508	264	205
75	122	194	226	310	236	114	42	8	0	0
76	35	75	194	387	870	984	661	366	207	128
77	64	220	627	1290	2074	2255	2236	2322	1254	910
78	119	292	979	2337	3811	5073	5020	3993	2709	1895
79	339	741	1941	3903	6006	3980	3791	1597	1146	585
80	62	105	209	450	833	969	723	548	336	237
81	293	355	475	680	359	190	93	23	5	0
82	25	17	54	57	135	107	25	26	12	15
83	29	67	122	199	210	150	72	22	6	0
84	169	430	1042	1940	2757	2450	1299	764	500	389
85	839	4509	17508	51825	167373	236808	237558	265986	291351	256753
86	150	162	295	250	194	92	47	0	0	0
87	94	219	611	955	889	682	334	72	30	8
88	214	1135	5075	19153	49923	111091	135564	154803	164517	191487
89	27	123	349	1115	1892	2704	2438	2210	2024	1021
90	388	895	2047	4295	5289	3134	1881	1242	514	205
91	75	112	222	334	352	187	150	58	25	0
92	33	144	113	402	357	207	131	107	76	58
93	63	162	483	620	572	465	229	91	52	25
94	6	44	49	202	219	173	54	34	8	0
95	4	55	196	435	825	1040	732	656	529	284
96	23	70	79	397	525	474	256	207	153	57
97	65	165	169	207	197	66	41	3	0	0
98	476	563	668	819	589	289	133	54	56	4
99	10	0	0	0	0	0	0	0	0	0
100	219	374	798	1492	1481	1153	335	200	105	38
101	380	1135	2619	4836	6959	4577	2268	1198	578	395
102	5	0	0	0	0	0	0	0	0	0
103	69	139	432	1285	2502	2454	2529	1708	1328	1047
104	32	20	61	59	45	6	10	0	0	0
105	107	156	155	170	156	84	39	8	7	0
106	203	514	859	1220	1799	1328	929	484	239	168
107	118	533	1962	7031	18666	35044	28759	24755	32306	31980
108	10	30	69	37	7	2	8	0	0	0
109	44	182	384	882	1319	1529	1084	920	628	359
110	49	11	30	28	0	0	0	0	0	0
111	25	52	75	97	96	71	26	24	0	0
112	204	862	2845	6780	11952	16226	14128	11057	9675	5706
113	131	137	146	146	121	78	0	0	0	0
114	176	365	863	1153	918	595	256	96	31	18
115	107	332	1715	4987	10420	15362	21923	17781	17915	17489
116	198	278	204	225	160	76	24	1	0	0
117	361	1199	3118	6679	11142	14388	11363	8819	5328	3898
118	440	757	1918	3258	4223	3904	2201	1069	558	240
119	131	266	473	897	949	608	341	172	123	38
120	130	256	330	401	286	234	97	12	0	0
121	79	256	850	1752	2629	4843	3119	2334	1625	1287
122	237	495	1273	1822	2679	1806	1302	654	406	106
123	96	193	249	249	191	91	36	5	3	0
124	11	15	27	55	70	79	81	72	23	9
125	63	107	333	601	418	295	154	27	5	0
126	187	538	1478	5236	7525	8135	10638	8761	5936	4842
127	388	769	1642	1979	2225	1364	831	500	154	49
128	156	311	572	946	1305	1112	695	367	219	133
129	142	279	469	645	755	302	324	90	31	11
130	94	97	130	137	69	15	16	0	0	0
131	97	219	618	907	1049	1194	634	244	131	76
132	472	884	2165	3904	4980	4642	3737	2398	1021	903
133	138	523	1126	3210	3878	4266	2755	2246	1324	714
134	167	273	549	884	910	480	168	86	30	2
135	73	259	623	1421	2172	1615	1070	820	440	389
136	114	337	658	878	881	487	328	94	72	26
137	401	453	375	334	201	122	31	12	0	0
138	6	17	4	0	0	0	0	0	0	0
139	44	188	842	2746	7011	8498	11069	10933	9709	10960
140	474	1242	3276	3959	4223	3217	1814	853	332	117
141	111	425	1540	2776	8120	10624	9351	6943	4831	3667
142	41	194	405	956	1362	1093	670	396	203	114
143	30	85	45	80	72	35	12	0	0	0
144	81	169	503	1224	2267	1936	1518	1087	826	470
145	95	194	154	166	44	23	19	4	0	0
146	508	904	1711	2753	3274	1703	1221	641	301	123
147	31	50	43	66	126	103	63	4	9	0
148	110	179	225	151	79	6	0	0	0	0
149	89	190	341	455	446	272	131	91	61	8
150	129	297	514	932	1064	672	436	358	176	63
151	143	342	642	751	555	310	124	40	9	1
152	103	365	1113	4272	9784	13922	19938	18227	19766	17973
153	26	68	94	142	129	116	133	41	0	0
154	18	62	92	79	67	21	6	0	0	0
155	214	723	1377	2791	3288	2473	1793	822	450	289
156	7	6	0	0	0	0	0	0	0	0
157	223	511	1054	1615	1355	969	425	137	63	11
158	38	96	242	333	504	262	219	140	42	31
159	39	86	94	345	447	509	369	238	110	65
160	52	60	95	146	81	67	45	14	12	15
161	87	97	140	387	289	223	138	53	19	10
162	76	94	104	164	75	28	24	4	6	1
163	26	52	82	136	113	60	27	6	4	0
164	55	59	160	352	376	255	154	102	35	11
165	71	95	262	403	457	225	118	16	15	8
166	85	202	242	504	428	353	104	38	2	4
167	67	158	259	604	623	595	418	282	134	68
168	19	7	11	17	30	14	0	0	0	0
169	90	165	275	494	389	228	141	44	6	4
170	64	180	392	1013	908	670	480	330	104	84
171	81	188	536	1653	2673	2997	3831	3730	3115	2656
172	271	449	696	971	1064	524	442	229	85	59
173	12	7	0	0	0	0	0	0	0	0
174	123	270	298	435	353	279	97	52	11	19
175	69	160	253	527	550	510	374	156	50	14
176	0	0	0	0	0	0	0	0	0	0
177	105	380	653	1368	2554	2013	1364	751	539	348
178	74	73	102	170	133	85	39	23	18	10
179	19	42	59	32	12	0	0	0	0	0
180	21	185	484	1354	2986	5084	4286	3711	3422	3963
181	101	93	86	102	49	37	9	0	0	0
182	333	1310	4948	15263	34955	58837	58082	64326	53794	49895
183	152	211	417	998	862	474	308	134	52	54
