Barcode Index 	 selection coefficient mean (1/cycle) 	 selection coefficient std 	 collect time (cycle)	 counts 
1	0.6097367114946665	0.007239943065610895	18.0	7.0
2	0.6989404429046276	0.010440659960333137	18.0	7.0
4	0.7396501347984676	0.005464678390782359	18.0	7.0
14	0.5484692229537969	0.00875421939362833	18.0	7.0
17	0.5284946625029274	0.007454980379576697	18.0	7.0
18	0.48509576624484774	0.02866752635596671	18.0	6.0
19	0.5803507308154195	0.021172907547121256	18.0	5.0
22	0.6700542217963353	0.0062195099365554875	18.0	7.0
23	0.672901299656681	0.007793093005613056	18.0	7.0
48	0.5700451655107126	0.006479064064163299	18.0	7.0
54	0.4672036540015439	0.049758554955618456	16.0	4.0
58	0.6970137905172418	0.014679309370067155	18.0	7.0
60	0.6526150625442607	0.006229329122564799	18.0	7.0
63	0.39353736945093276	0.03750172061061353	10.0	5.0
66	0.5750345040746169	0.011450880807430749	18.0	7.0
69	0.5662732344587269	0.01166177198523058	18.0	7.0
71	0.8781980097905097	0.004360986703923494	18.0	7.0
77	0.6133246230915245	0.016977176112039954	18.0	7.0
84	0.479540270696644	0.01657199570847614	18.0	7.0
85	0.7736177764462578	0.0031744328140678436	18.0	7.0
88	0.825828136819993	0.004366651705881529	18.0	7.0
89	0.6904817261134505	0.015120942813716115	18.0	7.0
90	0.42768550351665924	0.013724997327278778	18.0	7.0
92	0.5985832938249801	0.0843920396039462	18.0	4.0
101	0.418476159155208	0.010914096802028362	18.0	7.0
106	0.4518446717929175	0.02269454664589555	18.0	6.0
107	0.7522820701890367	0.005176344008690846	18.0	7.0
109	0.5942381295038931	0.02202973575603119	18.0	6.0
112	0.6537042830987834	0.006004427616469141	18.0	7.0
115	0.7540778025671201	0.00568859315282685	18.0	7.0
117	0.5848852176362754	0.006689142336708197	18.0	7.0
121	0.5963445456125055	0.010972226363910612	18.0	7.0
126	0.6621498374345305	0.007079889739300224	18.0	7.0
133	0.5489186716497597	0.011108911176875126	18.0	7.0
135	0.5107117887924646	0.021155162062134032	18.0	7.0
136	0.36668909465946836	0.056133321837821736	12.0	4.0
139	0.7468686671410413	0.0068706887243278674	18.0	7.0
140	0.40785982035171203	0.019836849047488555	18.0	6.0
141	0.6293341682783395	0.0068732075224519976	18.0	7.0
142	0.4888428316176451	0.027493936008532952	18.0	6.0
152	0.78023874799354	0.006079326234653703	18.0	7.0
155	0.45263200995872166	0.015681785366528114	18.0	7.0
177	0.5250895292757292	0.02003435664073168	18.0	6.0
180	0.693365541960589	0.00940397719893796	18.0	7.0
182	0.7356594697533774	0.004361248040096381	18.0	7.0
186	0.4421796457273521	0.016266266614122112	18.0	7.0
189	0.7252757242888423	0.005421110135718591	18.0	7.0
198	0.6583205068913895	0.008863017905347007	18.0	7.0
199	0.46947841998682455	0.04020174657806317	18.0	6.0
202	0.6417053813424629	0.007669200735876838	18.0	7.0
0	0.3261682354825941	0.03690936977094025	18.0	5.0
3	0.5854961056492543	0.019849902818690198	18.0	6.0
5	0.42252662330181584	0.052138455716833794	18.0	5.0
8	0.5314874110011033	0.021133700564280475	18.0	6.0
9	0.36239613665411097	0.034907284328570834	16.0	4.0
16	0.46876507423864516	0.03368740016220419	18.0	5.0
20	0.4512622769491472	0.03141782842962198	18.0	6.0
24	0.48962242149491286	0.02872161696468243	18.0	6.0
26	0.4021791425922696	0.05412597366215791	14.0	4.0
27	0.5353535361288719	0.027325160725246753	18.0	6.0
28	0.43452411194058405	0.035363427090662314	18.0	5.0
29	0.4392856535000625	0.028620090630279708	18.0	5.0
33	0.6515960156241792	0.02470355630772185	18.0	6.0
43	0.5762011707900382	0.027760277826747084	18.0	6.0
46	0.40244088188029564	0.058507780186870556	18.0	5.0
53	0.3223923825917277	0.01949191396093991	18.0	6.0
56	0.5228359973791409	0.06591209885354764	14.0	5.0
65	0.43607450149367266	0.04877631427771218	18.0	5.0
72	0.6594803863007818	0.01956570862506429	18.0	6.0
